,Unnamed: 0,Class,file_name
188965,188965,1,subset4_positive_97306_129468-1.jpg
9974,9974,0,subset0_negative_97097_105343.jpg
302340,302340,0,subset7_negative_57680_115245.jpg
38148,38148,0,subset0_negative_55354_120157.jpg
76857,76857,0,subset1_negative_63785_132085.jpg
51215,51215,0,subset1_negative_69557_101590.jpg
95212,95212,1,subset2_positive_92387_130992-5.jpg
181282,181282,0,subset4_negative_55268_115559.jpg
205827,205827,0,subset4_negative_41306_124469.jpg
237490,237490,1,subset4_positive_94709_139139-4.jpg
199648,199648,0,subset4_negative_89762_106077.jpg
26979,26979,0,subset0_negative_71780_106603.jpg
378851,378851,0,subset8_negative_59047_127809.jpg
219224,219224,1,subset4_positive_21600_124781-0.jpg
294093,294093,0,subset5_negative_43183_113192.jpg
284606,284606,0,subset5_negative_73537_104171.jpg
42634,42634,0,subset0_negative_97097_105304.jpg
191224,191224,1,subset4_positive_02477_124019-0.jpg
31874,31874,0,subset0_negative_08058_143305.jpg
421833,421833,1,subset9_positive_82004_110638-5.jpg
49576,49576,1,subset1_positive_60014_111133-1.jpg
65345,65345,1,subset1_positive_81131_116768-2.jpg
416009,416009,0,subset9_negative_65787_137189.jpg
287961,287961,1,subset5_positive_69223_144665-5.jpg
375888,375888,1,subset8_positive_75427_102830-3.jpg
253113,253113,0,subset5_negative_43313_129924.jpg
279114,279114,0,subset5_negative_56531_101353.jpg
240357,240357,1,subset4_positive_87176_109564-2.jpg
103486,103486,0,subset2_negative_29556_106708.jpg
260469,260469,0,subset5_negative_68929_126917.jpg
56608,56608,1,subset1_positive_12456_122541-1.jpg
74584,74584,0,subset1_negative_98613_116718.jpg
127075,127075,0,subset2_negative_21294_115440.jpg
278001,278001,1,subset5_positive_75734_133773-3.jpg
52501,52501,0,subset1_negative_15089_109681.jpg
427775,427775,1,subset9_positive_97221_139056-3.jpg
352222,352222,1,subset8_positive_74757_125288-3.jpg
94650,94650,0,subset2_negative_92387_131396.jpg
225841,225841,0,subset4_negative_55115_112407.jpg
428360,428360,1,subset9_positive_88650_106462-3.jpg
360310,360310,1,subset8_positive_92959_121643-3.jpg
109347,109347,0,subset2_negative_05256_121590.jpg
279994,279994,0,subset5_negative_26096_120462.jpg
404638,404638,1,subset9_positive_79976_117377-1.jpg
100021,100021,1,subset2_positive_92387_130991-0.jpg
379634,379634,1,subset8_positive_51928_138935-1.jpg
381286,381286,0,subset8_negative_92959_122104.jpg
324249,324249,0,subset7_negative_75826_106532.jpg
181053,181053,1,subset4_positive_25757_123243-3.jpg
109870,109870,1,subset2_positive_19780_126956-3.jpg
281684,281684,0,subset5_negative_56531_101660.jpg
1395,1395,0,subset0_negative_18860_137816.jpg
275986,275986,0,subset5_negative_52904_121834.jpg
424778,424778,0,subset9_negative_36247_143464.jpg
2963,2963,0,subset0_negative_64321_102815.jpg
401819,401819,0,subset9_negative_89532_135434.jpg
361233,361233,0,subset8_negative_45994_131810.jpg
271723,271723,1,subset5_positive_85026_119306-5.jpg
359998,359998,1,subset8_positive_36359_139917.jpg
249556,249556,0,subset5_negative_23962_114884.jpg
196268,196268,0,subset4_negative_20907_120375.jpg
333075,333075,0,subset7_negative_90986_111862.jpg
228985,228985,0,subset4_negative_01883_122968.jpg
188918,188918,0,subset4_negative_39398_117787.jpg
1189,1189,1,subset0_positive_42411_111614-2.jpg
229546,229546,1,subset4_positive_17281_104564.jpg
71415,71415,0,subset1_negative_12009_127502.jpg
100016,100016,0,subset2_negative_95628_108115.jpg
183531,183531,0,subset4_negative_89762_102390.jpg
332691,332691,1,subset7_positive_77950_104822-2.jpg
238745,238745,1,subset4_positive_59377_102881-2.jpg
138497,138497,1,subset3_positive_09377_128075-1.jpg
190015,190015,1,subset4_positive_04168_116588-3.jpg
330931,330931,0,subset7_negative_17588_144489.jpg
189679,189679,1,subset4_positive_55268_115556-5.jpg
115473,115473,1,subset2_positive_59527_120572-2.jpg
136252,136252,0,subset3_negative_15660_103264.jpg
111410,111410,1,subset2_positive_19780_126956-5.jpg
386956,386956,1,subset9_positive_66464_122421-3.jpg
139567,139567,0,subset3_negative_18990_119500.jpg
